series,network,Type,# Eps,Air Day,National Time,daypart,Run_time (min),Unique HHs,Total Hrs Viewed,Avg % Viewed
series1137,network13,Broadcast,4,U,9:00 PM,prime,120,"2,652,154",1956093.152,33.31%
series527,network34,Cable,20,M T W R F,12:00 PM,daytime,60,"2,643,846",1359360,49.00%
series805,network32,Cable,19,M T W R U,8:00 PM,prime,30,"2,642,680",855898.1125,62.31%
series838,network4,Broadcast,4,T,9:00 PM,prime,60,"2,636,448",1534543.351,53.57%
series572,network6,Cable,23,M T W R F S U,10:00 PM,prime,30,"2,611,793",717634.3322,53.48%
series1088,network34,Cable,20,M T W R F,3:00 PM,daytime,60,"2,597,237",1283380,48.00%
series587,network32,Cable,15,M T W R F,4:30 PM,earlyfringe,30,"2,593,952",797772.5094,59.35%
series484,network32,Cable,23,M T W R F S U,10:00 PM,prime,30,"2,570,855",834920.0089,62.54%
series832,network13,Broadcast,7,S U,6:30 PM,earlyfringe,30,"2,502,580",830570.7192,63.56%
series1263,network36,Cable,20,M T W R F,5:00 PM,earlyfringe,120,"2,502,080",1303261.337,25.27%
series1212,network4,Broadcast,4,R,10:00 PM,prime,60,"2,439,287",1449541.642,54.77%
series484,network32,Cable,23,M T W R F S U,10:30 PM,prime,30,"2,409,550",827924.0811,66.26%
series510,network5,Broadcast,8,S U,8:00 AM,earlymorning,60,"2,395,815",1104833.574,43.56%
series1222,network4,Broadcast,20,M T W R F,4:00 PM,earlyfringe,60,"2,378,527",1091271.61,43.73%
series306,network4,Broadcast,4,R,9:00 PM,prime,60,"2,365,291",1300756.77,51.17%
series85,network36,Cable,20,M T W R F,6:00 AM,earlymorning,180,"2,331,781",1156969.45,15.93%
series57,network5,Broadcast,8,S U,6:30 PM,earlyfringe,30,"2,331,729",695403.0969,57.15%
series1062,network11,Cable,15,M T R F S,11:00 PM,latefringe,60,"2,329,494",713947.0956,29.45%
series1059,network32,Cable,15,M T W R F,8:00 AM,earlymorning,30,"2,329,039",806514.2086,66.67%
series301,network4,Broadcast,5,W S,9:00 PM,prime,60,"2,327,701",1314377.141,52.41%
series177,network32,Cable,15,M T W R F S U,4:00 PM,earlyfringe,30,"2,325,807",740985.9044,61.49%
series573,network6,Cable,22,M T W R F U,10:30 PM,prime,30,"2,302,157",678884.6133,57.36%
series837,network22,Cable,17,M W R F S U,6:00 PM,earlyfringe,60,"2,299,132",1106728.454,46.32%
series525,network34,Cable,20,M T W R F,12:00 AM,latefringe,60,"2,298,350",1158174.951,48.40%
series671,network13,Broadcast,19,M T W R F,1:36 AM,latefringe,29,"2,290,348",962701.0356,85.02%
series1393,network4,Broadcast,23,M T W R F S,6:30 PM,earlyfringe,30,"2,277,405",796005.8603,66.66%
series1126,network4,Broadcast,5,M R,8:00 PM,prime,30.6,"2,268,902",735389.8228,60.53%
series805,network32,Cable,19,M T W R U,8:30 PM,prime,30,"2,250,877",768063.3544,65.68%
series18,network5,Broadcast,3,S U,3:30 PM,daytime,158,"2,235,157",1856902.9,28.00%
series81,network26,Cable,20,M T W R F,10:30 PM,prime,30,"2,230,234",745639.5669,64.14%
series660,network26,Cable,28,M T W R F S U,9:30 PM,prime,30,"2,226,757",714393.1353,62.16%
series572,network6,Cable,25,M T W R F S U,7:30 PM,primeaccess,30,"2,222,654",636830.3111,56.13%
series81,network26,Cable,20,M T W R F,10:00 PM,prime,30,"2,137,670",670131.8489,60.21%
series1059,network32,Cable,15,M T W R F,7:30 AM,earlymorning,30,"2,135,688",681076.4622,61.61%
series39,network4,Broadcast,3,U,7:00 PM,primeaccess,60,"2,133,072",1123172.243,49.31%
series837,network22,Cable,11,M W R S U,8:00 PM,prime,60,"2,131,705",1100929.333,49.10%
series393,network32,Cable,18,M T W R U,9:00 PM,prime,30,"2,122,177",674347.175,61.04%
series1018,network21,Cable,24,M T W R F S,6:30 PM,earlyfringe,30,"2,111,321",628238.3575,57.91%
series393,network32,Cable,19,M T W R U,9:30 PM,prime,30,"2,110,854",692667.9633,62.99%
series1222,network13,Broadcast,20,M T W R F,4:00 PM,earlyfringe,60,"2,110,774",899658.6844,42.61%
series1197,network21,Cable,24,M T W R F S,7:00 PM,primeaccess,30,"2,107,003",592767.0631,54.73%
series1321,network13,Broadcast,4,S,7:00 AM,earlymorning,120,"2,105,457",1403210.271,30.46%
series230,network5,Broadcast,3,M,10:01 PM,prime,59,"2,080,862",1112972.955,50.22%
series1197,network21,Cable,24,M T W R F S,7:30 PM,primeaccess,30,"2,077,201",632048.3178,59.07%
series1094,network4,Broadcast,4,W,8:00 PM,prime,60,"2,074,638",1148471.921,51.93%
series196,network1,Cable,18,M T W R F,7:00 PM,primeaccess,60,"2,058,409",932988.2297,43.67%
series1062,network11,Cable,19,M T W R F S U,6:00 PM,earlyfringe,60,"2,021,803",696639.0944,33.56%
series363,network32,Cable,18,M T W R F,9:00 AM,daytime,30,"2,016,961",734076,71.00%
series89,network5,Broadcast,4,U,7:00 PM,primeaccess,60,"2,015,732",997856.9811,47.19%
series1062,network11,Cable,22,M T W R F S,1:00 AM,latefringe,60,"2,008,713",926357.6781,44.81%
series19,network4,Broadcast,1,M,9:00 PM,prime,177,"2,006,831",2133483.378,29.30%
series1062,network11,Cable,24,T W R F S U,8:00 AM,earlymorning,60,"2,002,145",805824.2639,39.14%
series917,network13,Broadcast,19,M T W R F,2:05 AM,overnight,59,"2,000,894",1436271.292,71.14%
series366,network4,Broadcast,20,M T W R F,3:00 PM,daytime,60,"1,994,931",999840,48.00%
series677,network1,Cable,20,M T W R F,6:00 PM,earlyfringe,60,"1,988,787",1007995.278,48.62%
series1018,network21,Cable,24,M T W R F S,6:00 PM,earlyfringe,30,"1,985,263",536665.4006,52.81%
