series,network,Type,# Eps,Air Day,National Time,daypart,Run_time (min),Unique HHs,Total Hrs Viewed,Avg % Viewed
series18,network1,Cable,1,S,5:22 PM,earlyfringe,154,"469,350",396026.1878,29.84%
series706,network21,Cable,16,M T W R,2:00 AM,overnight,60,"469,333",232927.7853,49.00%
series177,network32,Cable,2,F S,8:30 PM,prime,30,"468,214",174910.3619,69.23%
series734,network32,Cable,5,M T W R F,12:00 PM,daytime,30,"467,918",176200,73.00%
series1207,network13,Broadcast,4,S,11:00 AM,daytime,30,"467,875",164236,69.00%
series1112,network5,Broadcast,4,S,10:00 AM,daytime,30,"467,690",150002,62.00%
series1217,network32,Cable,6,S U,1:00 AM,latefringe,30,"467,007",173988.7306,72.48%
series778,network30,Cable,4,R U,10:30 PM,prime,30,"465,017",152526.0425,63.29%
series675,network4,Broadcast,2,M F,12:05 AM,latefringe,62,"464,526",296432.3542,58.41%
series901,network13,Broadcast,1,S,3:00 PM,daytime,180,"463,818",341589,23.00%
series211,network5,Broadcast,1,U,9:00 PM,prime,60,"461,845",229795.635,46.72%
series301,network48,Cable,7,F U,7:00 PM,primeaccess,60,"461,339",211341.3764,44.45%
series451,network34,Cable,4,S,7:00 AM,earlymorning,60,"461,204",199214.1681,40.96%
series236,network34,Cable,4,S,10:30 AM,daytime,30,"460,552",154068,64.00%
series572,network6,Cable,4,S,10:30 PM,prime,30,"458,597",137081.705,58.13%
series1265,network48,Cable,19,M T W R F,8:00 AM,earlymorning,60,"457,070",220605.0978,46.61%
series677,network1,Cable,8,S U,6:00 AM,earlymorning,60,"456,494",241936.5708,51.26%
series18,network11,Cable,1,S,7:00 PM,primeaccess,160,"455,654",361717.6422,26.90%
series459,network34,Cable,4,U,6:00 PM,earlyfringe,60,"455,570",193329.8856,40.95%
series842,network5,Broadcast,20,M T W R F,6:00 AM,earlymorning,60,"455,485",206543.4989,41.80%
series677,network1,Cable,9,F S U,5:00 AM,overnight,60,"454,997",243502.2872,52.08%
series387,network5,Broadcast,20,M T W R F,7:00 PM,primeaccess,30,"453,417",140945.6417,59.87%
series214,network32,Cable,5,M T W R F,12:30 PM,daytime,30,"453,301",172912.5,74.00%
series926,network5,Broadcast,1,R,10:02 PM,prime,58,"452,229",231009.1456,49.33%
series1377,network32,Cable,2,F S,8:00 PM,prime,30,"451,500",170313.6125,70.26%
series291,network18,Broadcast,2,S,8:30 PM,prime,30,"451,315",144051.3875,61.47%
series763,network30,Cable,6,M W F S,6:00 PM,earlyfringe,60,"450,889",171381.0994,37.45%
series781,network56,Cable,4,S,7:00 AM,earlymorning,300,"450,791",241786.0953,10.18%
series830,network13,Broadcast,1,M,7:30 PM,primeaccess,30,"450,308",156285.2492,66.18%
series986,network21,Cable,16,M T W R,8:30 AM,earlymorning,30,"449,732",136672.5278,59.72%
series986,network21,Cable,16,M T W R,7:00 AM,earlymorning,30,"448,746",129079.9333,56.58%
series399,network8,Cable,5,W U,9:30 PM,prime,30,"448,185",127396.4164,55.06%
series443,network34,Cable,4,S,11:00 AM,daytime,30,"447,831",149270,64.00%
series266,network36,Cable,6,S U,5:00 PM,earlyfringe,60,"447,530",163051.1308,35.77%
series986,network21,Cable,16,M T W R,8:00 AM,earlymorning,30,"447,250",134766.3689,59.19%
series716,network26,Cable,6,M W F,5:00 PM,earlyfringe,15,"446,853",85055.86805,74.07%
series250,network10,Cable,19,M T W R F,2:00 AM,overnight,30,"445,976",144948.7028,64.29%
series587,network32,Cable,2,S U,11:00 AM,daytime,30,"444,745",154214,66.00%
series1159,network5,Broadcast,4,S,9:00 AM,daytime,30,"443,650",136964,60.00%
series1440,network59,Cable,28,M T W R F S U,7:00 AM,earlymorning,30,"443,321",126514.16,55.68%
series655,network10,Cable,5,T W U,10:00 PM,prime,30,"442,520",120178.9036,52.64%
series572,network6,Cable,6,M F U,4:00 PM,earlyfringe,30,"442,431",139718.6361,61.88%
series986,network21,Cable,16,M T W R,7:30 AM,earlymorning,30,"441,633",131820.2883,58.68%
series1411,network25,Cable,3,M S U,9:00 PM,prime,120,"440,608",296926.6539,31.82%
series214,network32,Cable,5,M T W R F,8:00 AM,earlymorning,30,"440,119",149364.6583,65.89%
series126,network30,Cable,4,U,7:00 PM,primeaccess,60,"439,504",169820.2419,37.78%
series962,network28,Cable,12,M W R F S U,12:30 AM,latefringe,30,"438,484",157630.7361,70.24%
series455,network18,Broadcast,20,M T W R F,8:00 AM,earlymorning,60,"437,611",214029.7147,45.67%
series572,network6,Cable,4,R,11:00 PM,latefringe,30,"437,395",123472.2239,54.95%
series1230,network13,Broadcast,2,R,8:30 PM,prime,30,"437,067",125681.3031,55.88%
series1320,network13,Broadcast,20,M T W R F,6:00 AM,earlymorning,60,"436,732",201696.4153,41.47%
series486,network34,Cable,7,S U,1:00 AM,latefringe,60,"435,907",223226.7639,49.91%
series91,network34,Cable,4,S,6:00 PM,earlyfringe,60,"435,746",181809.1267,40.30%
series716,network26,Cable,6,M W F,5:15 PM,earlyfringe,15,"435,092",84238.75278,75.33%
series805,network32,Cable,3,M F,9:00 PM,prime,30,"434,703",130436.2781,57.34%
series942,network26,Cable,5,M T W R F,6:00 PM,earlyfringe,15,"434,160",89886.86556,79.65%
series1080,network48,Cable,4,W,10:00 PM,prime,30,"433,995",122721.8967,54.39%
series95,network37,Broadcast,4,W,8:00 PM,prime,60,"431,237",164854.3528,37.04%
series602,network6,Cable,5,W U,11:00 PM,latefringe,30,"430,794",119403.7881,54.11%
series1386,network38,Cable,7,R U,11:00 PM,latefringe,30,"430,374",121081.0497,54.22%
series291,network18,Broadcast,2,S,8:00 PM,prime,30,"429,512",127141.9408,57.22%
series18,network11,Cable,1,S,1:00 PM,daytime,156,"429,395",396104.8,31.00%
series301,network48,Cable,7,F U,12:01 AM,latefringe,60,"428,454",200657.7878,45.40%
series886,network4,Broadcast,20,M T W R F,2:07 AM,overnight,30,"427,583",187788.5236,85.63%
series453,network18,Broadcast,20,M T W R F,6:00 AM,earlymorning,60,"427,383",190225.2869,40.84%
series18,network1,Cable,1,U,1:00 PM,daytime,185,"427,055",391672.75,27.00%
series255,network17,Cable,4,W R S U,9:00 PM,prime,60,"426,052",207581.4297,46.74%
series805,network32,Cable,7,M T W R F S U,1:30 AM,latefringe,30,"425,908",161140.0617,73.53%
series695,network61,Cable,20,M T W R F,7:00 PM,primeaccess,60,"425,509",215747.9322,49.15%
series942,network26,Cable,5,M T W R F,6:15 PM,earlyfringe,15,"424,144",87641.36917,79.50%
series16,network5,Broadcast,1,F,10:02 PM,prime,58,"422,210",176632.1492,41.05%
series810,network35,Cable,4,M W,9:00 PM,prime,60,"421,821",178792.6175,41.09%
series84,network35,Cable,4,F,10:00 PM,prime,60,"419,812",182650.1569,42.05%
series1062,network11,Cable,4,M,7:30 AM,earlymorning,90,"418,440",202200.5964,31.04%
series1073,network26,Cable,6,F U,8:30 PM,prime,30,"417,297",127505.1853,59.50%
series664,network13,Broadcast,20,M T W R F,6:00 AM,earlymorning,60,"416,745",185822.0139,41.15%
series1067,network26,Cable,15,M T W R F,4:30 AM,overnight,15,"416,670",90838.83361,86.15%
series228,network55,Broadcast,19,M T W R F,7:00 PM,primeaccess,60,"416,096",210233.6875,47.29%
series1353,network4,Broadcast,1,M,9:29 PM,prime,31,"415,857",137943.5514,60.66%
series452,network34,Cable,4,U,7:00 AM,earlymorning,60,"415,320",180832.5694,41.44%
series226,network34,Cable,4,S,11:30 AM,daytime,30,"413,348",137628,64.00%
series1062,network11,Cable,3,T W,6:00 PM,earlyfringe,90,"411,725",166354.5564,26.10%
series1217,network32,Cable,6,S U,1:30 AM,latefringe,30,"411,079",163707.4047,77.66%
series942,network26,Cable,5,M T W R F,5:45 PM,earlyfringe,15,"408,946",82602.17111,78.03%
series894,network30,Cable,5,M F,2:01 AM,overnight,30,"408,753",158429.6161,75.69%
series403,network5,Broadcast,20,M T W R F,6:00 AM,earlymorning,60,"406,678",184609.2722,42.28%
series312,network6,Cable,9,M T R,6:00 PM,earlyfringe,30,"406,498",116705.4842,56.53%
series678,network22,Cable,12,M W R F,7:00 AM,earlymorning,60,"406,312",203369.1264,48.46%
series563,network28,Cable,18,M T W R F S,4:00 AM,overnight,30,"406,273",140803.3106,68.17%
series242,network4,Broadcast,3,U,12:00 PM,daytime,60,"405,806",171093,41.00%
series109,network26,Cable,15,M T W R F,4:45 AM,overnight,15,"405,135",87464.75861,85.33%
series397,network13,Broadcast,20,M T W R F,7:30 PM,primeaccess,30,"405,084",124191.7875,59.39%
series308,network1,Cable,5,M W R,11:00 PM,latefringe,60,"404,331",183269.1808,43.79%
series86,network25,Cable,4,T,8:00 PM,prime,60,"404,281",168812.1242,40.70%
series71,network28,Cable,9,M S U,7:00 PM,primeaccess,30,"403,203",119988.89,58.18%
series1377,network32,Cable,2,F U,6:30 PM,earlyfringe,30,"401,062",133178.7997,62.95%
series942,network26,Cable,5,M T W R F,5:30 PM,earlyfringe,15,"400,965",81087.71639,78.29%
series301,network48,Cable,7,F U,6:00 PM,earlyfringe,60,"400,530",187504.5164,45.50%
series1308,network28,Cable,18,M T W R F S U,3:30 AM,overnight,30,"399,726",154926.2861,76.28%
series680,network13,Broadcast,1,M,10:00 PM,prime,60,"399,488",202225.2364,47.45%
series580,network35,Cable,3,U,9:00 PM,prime,60,"399,068",159058.6656,38.54%
series71,network28,Cable,9,M T W F S U,6:30 PM,earlyfringe,30,"398,649",125321.6753,61.30%
series569,network22,Cable,7,R F,5:00 PM,earlyfringe,60,"398,443",182643.3461,44.76%
series852,network32,Cable,1,S,8:00 PM,prime,90,"398,190",298390.3519,43.87%
series612,network1,Cable,3,T R,1:00 AM,latefringe,60,"397,351",202879.1658,48.07%
series211,network5,Broadcast,1,U,10:00 PM,prime,60,"397,106",213504.3303,50.29%
series533,network45,Cable,4,T,9:00 PM,prime,30,"395,090",109282.5486,53.43%
series459,network34,Cable,4,U,2:00 PM,daytime,60,"392,710",190308,47.00%
series903,network33,Cable,8,S U,8:00 AM,earlymorning,30,"392,567",115171.7817,57.53%
series533,network45,Cable,4,T,9:30 PM,prime,30,"392,167",109579.0178,53.87%
series639,network26,Cable,4,M T W R,6:30 PM,earlyfringe,30,"391,858",126079.3561,61.72%
series805,network32,Cable,8,M T W R F S U,3:00 AM,overnight,30,"390,142",143740.5469,71.89%
series239,network4,Broadcast,1,M,7:30 PM,primeaccess,30,"389,887",130516.9725,64.12%
series1377,network32,Cable,2,S,9:00 PM,prime,30,"389,030",137352.6781,66.29%
series876,network45,Cable,5,W S,9:30 PM,prime,30,"389,021",105103.9447,51.96%
series115,network25,Cable,3,U,9:00 PM,prime,60,"388,941",252865.03,61.44%
series752,network4,Broadcast,1,M,9:00 PM,prime,29,"388,395",128985.2703,65.17%
series825,network5,Broadcast,3,U,12:30 PM,daytime,30,"387,866",109537.5,55.00%
series65,network26,Cable,5,T S,8:30 PM,prime,30,"387,444",116834.1675,58.58%
series977,network28,Cable,8,S U,5:00 PM,earlyfringe,30,"386,560",113401.3633,57.36%
series177,network32,Cable,2,U,6:00 PM,earlyfringe,30,"386,412",133459.6469,65.48%
series81,network18,Broadcast,6,S U,7:30 PM,primeaccess,30,"386,358",116845.6206,58.74%
series1201,network4,Broadcast,2,R F,12:52 AM,latefringe,60,"386,181",271113.1597,68.14%
series455,network18,Broadcast,20,M T W R F,6:00 AM,earlymorning,60,"385,811",162516.0267,39.30%
series632,network13,Broadcast,24,M T W R F S,7:00 PM,primeaccess,30,"384,328",135473.3917,67.71%
series91,network34,Cable,3,U,11:00 AM,daytime,60,"382,510",184764,46.00%
series31,network18,Broadcast,4,S,12:00 AM,latefringe,30,"382,405",139680.8669,71.64%
series1080,network48,Cable,4,W S U,8:30 PM,prime,30,"380,884",115362.2239,58.72%
series1429,network6,Cable,8,T R,6:30 PM,earlyfringe,30,"380,132",107475.9519,55.72%
series86,network30,Cable,3,F,12:01 AM,latefringe,60,"379,961",187929.6089,48.00%
series805,network32,Cable,8,M T W R F S U,3:30 AM,overnight,30,"379,948",143685.9992,73.75%
series1062,network11,Cable,3,U,12:30 AM,latefringe,90,"379,315",227238.8875,38.63%
series1218,network20,Cable,19,M T W R F,8:00 AM,earlymorning,60,"379,019",200733.3953,51.38%
series876,network45,Cable,5,W S,9:00 PM,prime,30,"378,859",108876.2358,55.31%
series21,network13,Broadcast,1,U,3:00 PM,daytime,190,"378,283",213392.1667,17.00%
series92,network34,Cable,3,S,12:00 PM,daytime,60,"378,277",183375,47.00%
series805,network32,Cable,7,M T W R F S U,5:00 AM,overnight,30,"377,362",133929.2064,68.98%
series610,network13,Broadcast,24,M T W R F S,7:30 PM,primeaccess,30,"376,829",125487.1614,64.04%
series1112,network5,Broadcast,4,S,10:30 AM,daytime,30,"376,707",131276,68.00%
series128,network13,Broadcast,8,S U,11:30 AM,daytime,30,"376,358",136664,71.00%
series950,network40,Cable,4,U,10:00 PM,prime,60,"375,891",166024.0156,42.45%
series1231,network32,Cable,3,S U,8:00 AM,earlymorning,30,"374,087",112267.8061,58.30%
series1289,network37,Broadcast,4,R,8:00 PM,prime,60,"373,936",163579.3047,42.39%
series602,network6,Cable,8,M W F,6:30 PM,earlyfringe,30,"371,208",104848.1436,55.64%
series319,network13,Broadcast,4,U,12:00 AM,latefringe,60,"371,068",253950.9989,66.86%
series679,network13,Broadcast,1,M,10:00 PM,prime,60,"371,051",176035.4067,44.88%
series810,network35,Cable,5,M W U,7:00 PM,primeaccess,60,"371,024",129188.5533,34.23%
series148,network26,Cable,4,F,6:30 PM,earlyfringe,30,"370,785",115986.8731,60.10%
series580,network35,Cable,3,U,8:00 PM,prime,60,"369,906",144347.4122,37.98%
series894,network30,Cable,5,M F,2:31 AM,overnight,30,"369,341",150016.1611,79.44%
series1308,network28,Cable,15,M T W R F S,3:00 AM,overnight,30,"367,478",132680.0047,71.02%
series639,network26,Cable,5,M T R S,2:30 PM,daytime,30,"367,226",119485,64.00%
series572,network6,Cable,4,S,7:00 PM,primeaccess,30,"366,480",110582.5264,59.09%
series329,network35,Cable,4,M T R S,11:00 PM,latefringe,60,"366,479",130850.8792,34.71%
series930,network6,Cable,4,T,11:00 PM,latefringe,30,"365,335",101977.9417,54.46%
series1020,network6,Cable,4,R,9:00 PM,prime,30,"364,511",98272.72694,52.64%
series805,network32,Cable,7,M T W R F S U,4:30 AM,overnight,30,"364,068",130781.1667,69.81%
series1020,network6,Cable,4,R,9:30 PM,prime,30,"363,783",99204.77,53.19%
series302,network4,Broadcast,1,S,9:00 PM,prime,60,"363,620",173925.0528,45.50%
series312,network6,Cable,5,M S,1:00 PM,daytime,30,"363,185",120132.5,64.00%
series677,network1,Cable,4,U,10:00 AM,daytime,60,"363,084",190588,50.00%
series419,network32,Cable,4,S U,7:30 AM,earlymorning,30,"362,678",110401.3761,59.33%
series587,network32,Cable,2,S,9:30 PM,prime,30,"362,207",125578.5969,65.70%
series301,network48,Cable,7,F U,1:01 AM,latefringe,60,"360,280",200550.8831,53.97%
series65,network26,Cable,4,F S U,5:30 PM,earlyfringe,30,"359,785",117474.7519,62.93%
series572,network6,Cable,5,M W,12:00 AM,latefringe,30,"359,623",113448.4042,61.80%
series1118,network28,Cable,7,S U,3:00 PM,daytime,30,"359,351",113806,62.00%
series805,network32,Cable,7,M T W R F S U,4:00 AM,overnight,30,"358,787",126502.1664,68.61%
series1425,network22,Cable,2,M,8:00 PM,prime,60,"358,421",135647.1589,36.14%
series573,network6,Cable,5,F S,6:30 PM,earlyfringe,30,"358,380",105934.6211,58.04%
series573,network6,Cable,4,F,9:00 PM,prime,30,"358,356",99199.28694,54.11%
series329,network35,Cable,3,M T S,9:00 PM,prime,60.33333333,"357,933",157616.085,41.94%
series1353,network42,Cable,4,S,10:00 PM,prime,30,"357,860",101105.0186,54.84%
series898,network13,Broadcast,2,R,8:30 PM,prime,30,"357,631",103855.11,56.80%
series1432,network21,Cable,2,F U,8:00 PM,prime,120,"357,497",190799.1367,25.67%
series760,network11,Cable,2,R F,1:00 PM,daytime,180,"356,770",282390,25.00%
series670,network17,Cable,6,W U,12:00 AM,latefringe,60,"356,593",164678.9844,45.16%
series87,network30,Cable,2,M F,11:00 PM,latefringe,30,"356,406",108963.1233,58.60%
series1246,network38,Cable,4,U,10:00 PM,prime,60,"356,248",174107.3897,46.55%
series1118,network28,Cable,7,S U,3:30 PM,daytime,30,"356,237",114555,63.00%
series1212,network4,Broadcast,1,S,8:00 PM,prime,60,"355,647",183525.0108,49.34%
series1393,network13,Broadcast,24,M T W R F S,7:30 PM,primeaccess,30,"355,320",130721.2425,70.74%
series1333,network9,Cable,4,T,10:00 PM,prime,30,"354,998",90965.3675,49.89%
series533,network45,Cable,4,T,8:30 PM,prime,30,"354,540",89079.92056,48.74%
series740,network21,Cable,1,U,8:00 PM,prime,132,"354,347",198030.8381,23.93%
series1353,network42,Cable,4,S,10:30 PM,prime,30,"354,178",108925.1678,59.60%
series805,network32,Cable,3,M F,9:30 PM,prime,30,"353,990",120962.2261,65.74%
series587,network32,Cable,2,S,5:00 PM,earlyfringe,30,"351,234",115586.6125,63.27%
series1080,network48,Cable,4,W S U,8:00 PM,prime,30,"350,476",99496.77417,55.23%
series282,network25,Cable,4,T U,10:00 PM,prime,60,"349,649",171788.7436,46.95%
series587,network32,Cable,2,S,5:30 PM,earlyfringe,30,"349,097",115470.0206,63.46%
series1261,network18,Broadcast,1,U,8:00 PM,prime,120,"348,991",167158.5394,22.60%
series930,network6,Cable,4,T,9:30 PM,prime,30,"348,156",98722.85917,55.32%
series1099,network32,Cable,2,S,11:30 AM,daytime,30,"348,086",127336,70.00%
series1331,network30,Cable,3,T R,11:00 PM,latefringe,61,"347,860",148240.8947,40.71%
series852,network32,Cable,1,S,10:00 PM,prime,90,"347,334",226962.7356,39.13%
series660,network26,Cable,4,U,10:00 PM,prime,30,"347,126",107132.7783,59.80%
series1096,network30,Cable,4,R,1:01 AM,latefringe,60,"346,493",206813.3306,58.07%
series1059,network32,Cable,2,S,2:30 PM,daytime,30,"345,722",115340,64.00%
series91,network34,Cable,3,S,1:00 PM,daytime,60,"345,534",166110,46.00%
series1245,network38,Cable,4,R,10:00 PM,prime,60,"344,742",171500.3097,47.27%
series620,network17,Cable,4,S,11:00 PM,latefringe,60,"344,340",138151.2956,38.94%
series558,network26,Cable,5,T W,8:00 PM,prime,30,"344,217",99128.84472,56.22%
series528,network5,Broadcast,1,W,9:31 PM,prime,29,"343,861",107194.3161,61.30%
series646,network42,Cable,4,W,10:00 PM,prime,61.5,"342,718",197868.695,54.01%
series524,network5,Broadcast,5,S U,11:00 AM,daytime,30,"342,308",115342.5,66.00%
series950,network40,Cable,5,W U,11:00 PM,latefringe,60,"342,084",132551.0275,37.67%
series979,network6,Cable,6,F S,4:30 PM,earlyfringe,30,"341,930",109897.9444,62.98%
series1155,network47,Cable,13,M T W R F,7:00 PM,primeaccess,60,"341,338",166556.5614,47.49%
series796,network6,Cable,4,M,11:00 PM,latefringe,30,"341,137",93902.79528,53.88%
series355,network17,Cable,4,U,3:30 PM,daytime,30,"341,057",104298,60.00%
series21,network13,Broadcast,1,S,1:00 PM,daytime,180,"341,047",268962,25.00%
series613,network30,Cable,2,U,10:00 PM,prime,60,"340,790",141290.2889,39.68%
series956,network26,Cable,4,U,11:30 PM,latefringe,15,"340,775",65011.16528,74.34%
series639,network26,Cable,6,S U,6:30 AM,earlymorning,30,"340,741",103208.0153,59.45%
series307,network4,Broadcast,1,S,9:00 PM,prime,60,"340,048",172875.9558,48.11%
series1118,network28,Cable,7,S U,2:30 PM,daytime,30,"338,982",108906,63.00%
series573,network6,Cable,4,U,4:30 PM,earlyfringe,30,"338,935",105927.4797,61.19%
series41,network5,Broadcast,20,M T W R F,7:00 PM,primeaccess,30,"338,637",100276.2206,56.58%
series406,network13,Broadcast,20,M T W R F,6:00 AM,earlymorning,60,"337,741",164628.5556,44.08%
series930,network6,Cable,4,T,11:30 PM,latefringe,30,"337,002",104551.6781,60.58%
series1257,network27,Cable,4,M,8:00 PM,prime,60,"336,838",191783.8286,53.87%
series1377,network32,Cable,2,U,7:30 PM,primeaccess,30,"334,787",111446.2047,63.32%
series677,network1,Cable,8,F S U,4:00 AM,overnight,60,"334,383",169610.9089,49.59%
series202,network48,Cable,4,U,10:00 PM,prime,60,"334,218",160940.7978,46.13%
series143,network11,Cable,4,U,12:30 PM,daytime,30,"333,546",97708,57.00%
series1096,network30,Cable,2,R,8:00 PM,prime,60,"333,147",132213.2344,38.40%
series937,network7,Cable,4,R U,10:00 PM,prime,60,"333,138",158302.7356,45.04%
series645,network34,Cable,3,S,9:00 PM,prime,60,"332,919",137996.6344,39.68%
series1287,network6,Cable,4,U,5:30 PM,earlyfringe,30,"332,341",106056.9814,62.50%
series805,network32,Cable,6,M T W R F S,5:30 AM,overnight,30,"332,164",117394.1811,68.72%
series191,network18,Broadcast,2,U,8:30 PM,prime,30,"331,960",94359.75917,54.57%
series977,network28,Cable,8,S U,5:30 PM,earlyfringe,30,"331,654",108450.4703,64.03%
series59,network13,Broadcast,20,M T W R F,7:00 PM,primeaccess,30,"331,592",101426.0894,59.09%
series573,network6,Cable,4,F,12:00 AM,latefringe,30,"331,587",104855.0967,61.75%
series126,network30,Cable,4,U,12:01 AM,latefringe,60,"331,030",167305.3058,49.25%
series560,network6,Cable,4,U,9:00 AM,daytime,60,"330,852",150304,44.00%
series1221,network21,Cable,4,T,8:00 PM,prime,30,"330,148",84797.45083,49.98%
series781,network56,Cable,4,U,8:00 AM,earlymorning,240,"330,014",150827.6556,11.05%
series30,network13,Broadcast,1,R,10:00 PM,prime,60,"329,896",127052.2336,36.78%
series587,network32,Cable,2,M R,1:00 PM,daytime,60,"329,727",171316,50.00%
series930,network6,Cable,4,T,9:00 PM,prime,30,"329,429",88309.50889,52.41%
series560,network6,Cable,4,U,12:00 AM,latefringe,60,"329,050",164869.4208,48.73%
series893,network17,Cable,4,S,11:00 AM,daytime,30,"328,859",100118,59.00%
series942,network26,Cable,5,T R U,4:45 PM,earlyfringe,15,"328,784",65352.07333,77.31%
series915,network26,Cable,4,S,9:00 AM,daytime,30,"328,772",111026,65.00%
series311,network17,Cable,4,U,11:00 PM,latefringe,60,"328,371",132899.6817,39.32%
series539,network4,Broadcast,1,S,9:00 PM,prime,60,"328,159",159339.8331,46.12%
series681,network22,Cable,4,T,4:00 PM,earlyfringe,60,"328,073",172853.3186,50.92%
series87,network30,Cable,2,F,10:00 PM,prime,30,"327,900",102514.1631,60.42%
series948,network17,Cable,4,U,1:00 PM,daytime,60,"327,803",155676,46.00%
series572,network6,Cable,3,W,9:30 PM,prime,30,"327,617",91418.52917,54.40%
series23,network4,Broadcast,1,U,1:00 PM,daytime,216,"327,509",274467.6,22.00%
series678,network22,Cable,12,M W R F,6:00 AM,earlymorning,60,"327,467",156217.7419,46.43%
series556,network8,Cable,5,W S,12:00 AM,latefringe,60,"327,336",146890.9975,43.89%
series1425,network22,Cable,2,M,11:05 PM,latefringe,61.5,"327,197",109195.4933,30.84%
series847,network13,Broadcast,1,U,12:30 PM,daytime,177,"326,301",185392.75,18.00%
series894,network30,Cable,2,F,9:30 PM,prime,30,"326,128",101069.0508,60.10%
series255,network17,Cable,4,U,12:00 PM,daytime,60,"326,125",152412,45.00%
series580,network35,Cable,3,U,11:00 PM,latefringe,60,"325,791",128271.2358,38.14%
series1012,network6,Cable,4,S,12:00 AM,latefringe,30,"325,246",101841.725,61.22%
series1377,network32,Cable,2,S U,2:00 PM,daytime,30,"324,641",109908,65.00%
series1194,network34,Cable,4,S,2:00 PM,daytime,30,"324,598",104458,62.00%
series1062,network11,Cable,4,M,6:00 AM,earlymorning,90,"324,356",141086.6069,28.01%
series355,network17,Cable,4,U,3:00 PM,daytime,30,"323,779",93738,57.00%
series1355,network21,Cable,4,W,8:00 PM,prime,30,"323,557",86427.22861,51.34%
series394,network21,Cable,4,S,5:30 PM,earlyfringe,30,"323,427",103782.2575,62.40%
series441,network6,Cable,4,U,5:00 PM,earlyfringe,30,"323,035",102789.65,62.33%
series644,network1,Cable,1,S,7:56 PM,primeaccess,145,"322,833",185461.9511,22.57%
series345,network6,Cable,4,U,6:30 PM,earlyfringe,30,"322,468",101603.5564,61.76%
series1423,network22,Cable,1,M,9:00 PM,prime,135,"321,186",310202.4386,37.66%
series1429,network6,Cable,4,U,11:00 AM,daytime,30,"321,162",104764,63.00%
series355,network17,Cable,4,W,11:00 PM,latefringe,30,"320,347",76759.67,46.88%
series399,network8,Cable,5,W U,11:30 PM,latefringe,30,"319,972",92506.87222,56.55%
series84,network35,Cable,3,F,9:00 PM,prime,60,"319,481",117220.6533,35.66%
series613,network30,Cable,2,M U,11:00 PM,latefringe,61,"319,386",132679.8519,39.36%
series487,network6,Cable,7,W F,5:30 PM,earlyfringe,30,"317,665",99204.67778,61.41%
series143,network11,Cable,3,R F,12:00 AM,latefringe,60,"317,560",135092.4394,41.35%
series874,network30,Cable,4,T,12:01 AM,latefringe,60,"317,141",148133.9856,45.70%
series1282,network13,Broadcast,1,R,11:47 PM,latefringe,62,"317,094",163453.6128,47.67%
series796,network6,Cable,4,M,11:30 PM,latefringe,30,"316,828",99016.77167,61.11%
series65,network26,Cable,4,M,8:00 PM,prime,15,"315,825",63300.47028,77.34%
series345,network6,Cable,4,S,12:00 PM,daytime,30,"315,742",102004,63.00%
series1308,network28,Cable,12,M W R F S U,2:30 AM,overnight,30,"315,629",124229.9772,77.42%
series329,network35,Cable,2,T R,11:00 PM,latefringe,120,"314,564",194615.3958,29.30%
series604,network22,Cable,1,F,8:00 PM,prime,180,"314,470",219449.1925,21.91%
series763,network30,Cable,4,M T F S,5:00 PM,earlyfringe,60,"313,922",127211.2453,39.85%
series394,network21,Cable,4,S,5:00 PM,earlyfringe,30,"313,664",96104.2175,59.68%
series345,network6,Cable,4,S,12:30 PM,daytime,30,"313,625",105626,65.00%
series460,network34,Cable,4,S,2:30 PM,daytime,30,"312,640",99256,62.00%
series894,network30,Cable,2,F,9:00 PM,prime,30,"312,527",91398.50083,56.88%
series98,network30,Cable,3,W,8:00 PM,prime,60,"312,510",124724.5889,38.95%
series1354,network21,Cable,4,W,10:00 PM,prime,30,"312,466",106489.6989,63.17%
series1245,network38,Cable,8,M W R S U,7:00 PM,primeaccess,60,"312,294",116516.8778,36.38%
series942,network26,Cable,5,T R U,4:30 PM,earlyfringe,15,"311,661",60682.71917,75.97%
series91,network34,Cable,3,U,10:00 AM,daytime,30,"311,579",99610.5,62.00%
series900,network4,Broadcast,1,U,1:00 PM,daytime,135,"311,523",169535.25,23.00%
series255,network17,Cable,4,R,11:00 PM,latefringe,60,"311,426",137443.0117,42.76%
series1099,network32,Cable,3,M W F,2:30 PM,daytime,30,"311,371",100411.5,63.00%
series242,network4,Broadcast,1,S,2:30 PM,daytime,60,"310,749",111391,34.00%
series355,network17,Cable,4,W,11:30 PM,latefringe,30,"310,548",87325.43445,54.99%
series738,network17,Cable,4,U,4:00 PM,earlyfringe,30,"309,651",89660.04167,56.85%
series797,network6,Cable,4,U,1:00 PM,daytime,30,"309,479",103564,65.00%
series681,network22,Cable,4,T,3:00 PM,daytime,60,"309,049",163856,51.00%
series1300,network26,Cable,1,S,6:30 PM,earlyfringe,150,"309,026",201354.4092,24.31%
series357,network6,Cable,7,W F,6:00 PM,earlyfringe,30,"308,912",87071.95195,55.55%
series1091,network32,Cable,2,T F,4:00 PM,earlyfringe,30,"308,657",93640.14056,58.57%
series962,network28,Cable,8,M S U,1:30 AM,latefringe,30,"308,109",120831.4128,76.62%
series378,network26,Cable,4,R,12:00 AM,latefringe,15,"308,057",61036.44861,77.23%
series1273,network5,Broadcast,5,S U,11:30 AM,daytime,30,"307,935",104420,67.00%
