series,network,Type,# Eps,Air Day,National Time,daypart,Run_time (min),Unique HHs,Total Hrs Viewed,Avg % Viewed,AirDay_Num,APV_linear,index_linear,APV_logarithm,Index_Logarith,APV_Daypart,Index_Daypart,APV_network,Index_network,Engagement index
series1011,network5,Broadcast,2,U,0.833333333,prime,60,1236977,642342.4725,48.83,1,50.152,0.973640134,45.55951476,1.071784901,45,1.085111111,47.37,1.030821195,1.062572402
series1231,network32,Cable,12,MTWRF,0.604166667,daytime,30,1230545,394506,63,5,59.08,1.066350711,60.69784918,1.037928046,48.112,1.309444629,64.58,0.975534221,1.107635632
series620,network17,Cable,20,MTWRF,0.791666667,primeaccess,60,1229936,484392.7864,38.65,5,50.152,0.770657202,45.55951476,0.848340905,43.7,0.884439359,53.822,0.718107837,0.816962701
series314,network5,Broadcast,1,M,0.833333333,prime,91,1221582,964743.1214,46.81,1,40.9264,1.143760507,36.46282838,1.283773149,45,1.040222222,47.37,0.988178172,1.104057848
series674,network13,Broadcast,19,MTWRF,0.127777778,overnight,56,1215459,758361.23,65.48,5,51.3424,1.275359157,47.06631907,1.391228405,61.93,1.057322784,50.73,1.290754977,1.246435389
series91,network34,Cable,8,SU,0.666666667,earlyfringe,120,1210542,693790.3069,27.5,2,32.296,0.851498638,30.42118034,0.903975444,46.72,0.588613014,47.04,0.584608844,0.6923991
series572,network6,Cable,24,MTWRFU,0.5,daytime,30,1206794,383760,62,6,59.08,1.049424509,60.69784918,1.021452998,48.112,1.288659794,60.5,1.024793388,1.111635393
series250,network10,Cable,20,MTWRF,0.958333333,latefringe,30,1206114,287695.0497,46.64,5,59.08,0.78943805,60.69784918,0.768396255,51.59,0.904051173,44.77,1.041769042,0.904738823
series498,network34,Cable,20,MTWRF,0.083333333,overnight,60,1200867,757350.5233,61.38,5,50.152,1.223879407,45.55951476,1.347248765,61.93,0.991119005,47.04,1.304846939,1.214404903
series753,network12,Cable,20,MTWRF,0.25,earlymorning,240,1197738,761923.4403,14.98,5,-3.416,-4.385245902,15.28284591,0.980183932,42.33,0.353886133,27.8,0.538848921,0.624306329
series18,network1,Cable,2,MU,0.791666667,primeaccess,160,1192401,927660.3369,25.77,2,20.392,1.263730875,24.13820388,1.067602218,43.7,0.589702517,39.25,0.65656051,0.771288415
series416,network26,Cable,19,MTWRF,0.125,overnight,30,1192254,424180.3264,69.46,5,59.08,1.175693974,60.69784918,1.144356858,61.93,1.121588891,64.14,1.082943561,1.116296437
series573,network6,Cable,24,MTWRFU,0.520833333,daytime,30,1187069,379584,62,6,59.08,1.049424509,60.69784918,1.021452998,48.112,1.288659794,60.5,1.024793388,1.111635393
series1059,network32,Cable,8,MTWRFSU,0.479166667,daytime,30,1182740,426520,69,7,59.08,1.167907921,60.69784918,1.136778336,48.112,1.434153642,64.58,1.068442242,1.21312474
